ORI_Number,Agency
CA0290100,Grass Valley Police Department
CA029013G,Nevada County Probation Department
CA0290200,Nevada City Police Department
CA0290800,Truckee Police Department
CA0300000,Orange County Sheriff's Department
CA0300100,Anaheim Police Department
CA030013A,Orange County District Attorney's Office
CA030013G,Orange County Probation
CA0300200,Brea Police Department
CA0300300,Buena Park Police Department
CA0300400,Costa Mesa Police Department
CA0300500,Cypress Police Department
CA0300600,La Palma Police Department
CA0300700,Fountain Valley Police Department
CA0300800,Fullerton Police Department
CA0300900,Garden Grove Police Department
CA0301000,Huntington Beach Police Department
CA0301100,Laguna Beach Police Department
CA0301200,La Habra Police Department
CA0301400,Newport Beach Police Department
CA0301500,Orange Police Department
CA0301900,Santa Ana Police Department
CA0302000,Seal Beach Police Department
CA0302200,Tustin Police Department
CA0302400,Westminster Police Department
CA0302600,Irvine Police Department
CA0309700,UC Irvine Police Department
CA0310000,Placer County Sheriff's Department
CA0310100,Auburn Police Department
CA031013A,Placer County District Attorney's Office
CA031013G,Placer County Probation
CA0310300,Lincoln Police Department
CA0310400,Rocklin Police Department
CA0310500,Roseville Police Department
CA0320000,Plumas County Sheriff's Department
CA032013A,Plumas County District Attorney's Office
CA032013G,Plumas County Probation Department
CA0330000,Riverside County Sheriff's Department
CA0330100,Banning Police Department
CA033013A,Riverside County District Attorney's Office
CA033013G,Riverside County Probation Department
CA0330200,Beaumont Police Department
CA0330600,Desert Hot Springs Police Department
CA0330800,Hemet Police Department
CA0330900,Indio Police Department
CA0331100,Palm Springs Police Department
CA0331300,Riverside Police Department
CA0331500,Corona Police Department
CA0332500,Cathedral City Police Department
CA0334200,Murrieta Police Department
CA0339700,UC Riverside Police Department
CA0340000,Sacramento County Sheriff's Department
CA034013A,Sacramento County District Attorney's Office
CA034013G,Sacramento County Probation Department
CA0340400,Sacramento Police Department
CA0340800,CSU Sacramento Police Department
CA0340H00,Elk Grove Police Department
CA0341200,Department of Parks & Recreation
CA0341300,Department of Insurance
CA034155C,Department of Corrections and Rehabilitation
CA0341900,Department of Fish and Wildlife
CA0341A00,Department of Alcoholic Beverage Control
CA0342000,Department of State Fair 
CA0342100,Sacramento County Welfare Department
CA0344600,Department of Secretary of State 
CA0349400,Department of Justice
CA0349600,Citrus Heights Police Department
CA0349900,California Highway Patrol
CA0350000,San Benito County Sheriff's Department
CA0350100,Hollister Police Department 
CA035013G,San Benito County Probation Department
CA0360000,San Bernardino County Sheriff's Department
CA036013G,San Bernardino County Probation Department
CA0360200,Chino Police Department
CA0360300,Colton Police Department
CA0360400,Fontana Police Department
CA0360500,Montclair Police Department 
CA0360700,Ontario Police Department
CA0360800,Redlands Police Department
CA0361000,San Bernardino Police Department
CA0361400,CSU San Bernardino Police Department 
CA0365000,Fontana Unified School District Police Department
CA0370000,San Diego County Sheriff's Department
CA0370100,Carlsbad Police Department
CA037013G,San Diego County Probation Department
CA0370200,Chula Vista Police Department
CA0370300,Coronado Police Department
CA0370500,El Cajon Police Department
CA0370600,Escondido Police Department
CA0370800,La Mesa Police Department
CA0371000,Oceanside Police Department
CA0371100,San Diego Police Department
CA0371400,CSU San Diego Police Department
CA0373200,CSU San Marcos Police Department
CA037A700,Palomar Community College Police Department
CA0380000,San Francisco County Sheriff's Department
CA0380100,San Francisco Police Department
CA038013G,San Francisco County Adult Probation Department
CA038023G,San Francisco County Juvenile Probation Department
CA0380300,San Francisco State University Police Department
CA0381700,San Francisco Community College Police Department
CA0390000,San Joaquin County Sheriff's Department
CA0390100,Escalon Police Department
CA039013G,San Joaquin County Probation Department
CA0390200,Lodi Police Department
CA039023A,San Joaquin County District Attorney's Office
CA0390300,Manteca Police Department
CA0390500,Stockton Police Department
CA0390600,Tracy Police Department
CA0391500,Stockton Unified School District Police Department
CA0400000,San Luis Obispo County Sheriff's Department
CA0400100,Arroyo Grande Police Department
CA040013G,San Luis Obispo County Probation Department
CA0400300,Morro Bay Police Department
CA0400400,Paso Robles Police Department
CA0400500,Pismo Beach Police Department
CA0400600,San Luis Obispo Police Department
CA0400700,Cal Poly - San Luis Obispo Police Department
CA0400800,Atascadero Police Department
CA0410000,San Mateo County Sheriff's Department
CA0410100,Atherton Police Department
CA041013A,San Mateo County District Attorney's Office
CA041013G,San Mateo County Probation Department
CA0410200,Belmont Police Department
CA0410300,Brisbane Police Department
CA0410400,Burlingame Police Department
CA0410500,Colma Police Department
CA0410600,Daly City Police Department
CA0410800,Hillsborough Police Department
CA0411100,Pacifica Police Department
CA0411300,Redwood City Police Department
CA0411400,San Bruno Police Department
CA0411600,San Mateo Police Department
CA0411700,South San Francisco Police Department
CA0411900,Broadmoor Police Department
CA0420000,Santa Barbara County Sheriff's Department
CA042013A,Santa Barbara County District Attorney's Office
CA042013G,Santa Barbara County Probation Department
CA0420200,Lompoc Police Department
CA0420300,Santa Barbara Police Department
CA0420400,Santa Maria Police Department
CA0430000,Santa Clara County Sheriff's Department
CA043013A,Santa Clara County District Attorney's Office
CA043013G,Santa Clara County Probation Department
CA0430400,Gilroy Police Department
CA0430500,Los Altos Police Department
CA0430700,Los Gatos Police Department
CA0430800,Milpitas Police Department
CA0430900,Monte Sereno Police Department
CA0431000,Morgan Hill Police Department
CA0431200,Palo Alto Police Department
CA0431300,San Jose Police Department
CA0431400,Santa Clara Police Department
CA0431600,Sunnyvale Police Department
CA0431700,San Jose State University Police Department
CA0432700,Foothill De Anza Community College Police Department
CA0440000,Santa Cruz County Sheriff's Department
CA0440100,Capitola Police Department
CA044013G,Santa Cruz County Probation Department
CA0440200,Santa Cruz Police Department
CA0440300,Watsonville Police Department
CA0440400,Scotts Valley Police Department
CA0449700,UC Santa Cruz Police Department
CA0450000,Shasta County Sheriff's Department
CA0450100,Anderson Police Department
CA045013A,Shasta County District Attorney's Office
CA045013G,Shasta County Probation Department 
CA0450200,Redding Police Department
CA0340500,Department of Forestry and Fire Protection
CA0459100,Shasta County Marshall's Office
CA0460000,Sierra County Sheriff's Department
CA0470000,Siskiyou County Sheriff's Department
CA047013A,Siskiyou County District Attorney's Office
CA0470600,Mt. Shasta Police Department
CA0470700,Tulelake Police Department
CA0470800,Weed Police Department
CA0470900,Yreka Police Department
CA0480000,Solano County Sheriff's Department
CA0480100,Benicia Police Department
CA048013A,Solano County District Attorney's Office
CA0480300,Fairfield Police Department
CA0480400,Rio Vista Police Department
CA0480500,Suisun City Police Department
CA0480600,Vacaville Police Department
CA0480700,Vallejo Police Department
CA0490000,Sonoma County Sheriff's Department
CA0490100,Cloverdale Police Department
CA049013A,Sonoma County District Attorney's Office
CA049013G,Sonoma County Probation Department
CA0490200,Cotati Police Department
CA0490300,Healdsburg Police Department
CA0490400,Rohnert Park Police Department
CA0490500,Santa Rosa Police Department
CA0490600,Sebastopol Police Department
CA0490800,Petaluma Police Department
CA0490900,CSU Sonoma Police Department
CA0491400,Santa Rosa Junior College Police Department
CA0500000,Stanislaus County Sheriff's Department
CA0500100,Ceres Police Department
CA050013A,Stanislaus County District Attorney's Office
CA050013G,Stanislaus County Probation Department
CA0500200,Modesto Police Department
CA0500400,Oakdale Police Department
CA0500700,Turlock Police Department
CA0510000,Sutter County Sheriff's Department
CA051013A,Sutter County District Attorney's Office
CA0510200,Yuba City Police Department
CA0520100,Corning Police Department
CA052013G,Tehama County Probation Department
CA0520200,Red Bluff Police Department
CA0530000,Trinity County Sheriff's Department
CA053013G,Trinity County Probation Department
CA0540000,Tulare County Sheriff's Department
CA0540200,Exeter Police Department
CA0540300,Farmersville Police Department
CA0540400,Lindsay Police Department
CA0540500,Porterville Police Department
CA0540600,Tulare Police Department
CA0540700,Visalia Police Department
CA0540800,Woodlake Police Department
CA0541200,Porterville Developmental Center Police Department
CA0550100,Sonora Police Department
CA055013A,Tuolumne County District Attorney's Office
CA055013G,Tuolumne County Probation Department
CA0560000,Ventura County Sheriff's Department
CA056023A,Ventura County District Attorney's Office
CA0560400,Oxnard Police Department
CA0560500,Port Hueneme Police Department
CA0560800,Ventura Police Department
CA0560900,Simi Valley Police Department
CA0562200,CSU Channel Islands Police Department
CA0570000,Yolo County Sheriff's Department
CA0570100,Davis Police Department
CA057013A,Yolo County District Attorney's Office
CA057013G,Yolo County Probation Department
CA0570200,Winters Police Department
CA0570300,Woodland Police Department
CA0570400,West Sacramento Police Department
CA0580000,Yuba County Sheriff's Department
CA0580100,Marysville Police Department
CA058013A,Yuba County District Attorney's Office
CA058013G,Yuba County Probation Department
CA0580200,Wheatland Police Department
